s.no,age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index 
23382,74,General Petite,Tops,Knits,863,,I really like the gentle flow of the fabric. this top can be worn casual or dressy by adding jewelry or or a scarf.,0,5,1
22735,32,General,Dresses,Dresses,1078,"Close, but no","I really, really wanted to take this home with me but decided against it. from the front this dress looks amazing when it was belted and i love the colors in it. however, it bunched like crazy in the back. i tried it without the belting and it just hung like a sack and was completely unflattering. if there were some way to get rid of the bunching in the back then i would have taken it home. but with the cost of the dress, i can't justify taking it to a tailor so it stayed. sigh. so close.",1,3,0
8840,26,General,Tops,Knits,860,Nice tunic,"I like this tunic. it is quite long and print in blue looks good with the butterflies. it feels very hot though! maybe better for winter. the sleeves are linen, i usually don't like linen much, it feels scratchy. this top works better in colder weather due to the sleeves and length of top. more like a tunic. i recommend it but am sending it back because i need something for summer.",8,4,1
16567,70,General,Tops,Knits,861,Perfect oversize t,"It's the perfect long, loose t-shirt. flattering without being fitted. love it!",2,5,1
18096,38,General Petite,Bottoms,Jeans,1025,Way too long...for me,"I have been looking for flares that are not tight through the thigh and these are definitely them...but for me they were so long that to hem them would ruin the style of the pants. i'm 5'5 and have long legs but i would need a high heel to maintain the intended style, and that's not what i was looking for. otherwise, beautiful.",1,3,1
22382,58,General Petite,Dresses,Dresses,1085,Easy breezy,I love this dress it is a little sheer so nothing that spanx won't cover. i have worn it a couple of times and have gotten many compliments.,0,4,1
10574,24,General,Tops,Knits,865,Unique+flattering+easy,This top is great for those days when you have nothing to wear. just throw this on and get ready for the compliments!,1,5,1
5986,39,General,Dresses,Dresses,1094,,Looks great on. i am 5'11 and the length is perfect hits above the knee but not too short. also room in the chest area.,0,5,1
19655,53,General Petite,Dresses,Dresses,1081,Nice fitting dress,"I just bought this nice dress on sale as i love the dolan brand and purchased my regular size small (34/27/35) and it fits me perfect so i'd say it runs tts. the material is nice and soft, not see through at all and a good length (i'm 5'4""). i bought the regular and didn't seem to need a petite. it's a slimming dress that's not overly tight too. i also really like the mock neck and don't find it constricting at all as the material has a bit of stretch. the short sleeves will be nice when it's sp",10,5,1
12815,48,General,Dresses,Dresses,1082,Classic comfy chic,Obsessed with black watch scottish tartan so this really hits the mark and goes beautifully with my joe fresh black watch print wellies rain boots. the wrap top is flattering but pulls on me ( i have this in the red and blue plaid as well.,3,4,1
3053,28,General Petite,Dresses,Dresses,1072,Better in person!,This dress looked nice online so i ordered it. once it arrived i tried it on and it looked even better. the fit was flattering as well. very versatile piece in an interesting print. glad i caught this piece on sale!,0,5,1
1872,57,General,Tops,Fine gauge,907,Beautiful and cozy,"This is a beautiful sweater/tunic/dress. i ordered in the mustard color, and wearing it will brighten my day on a dreary winter morning. it is so hard to find winter clothes in bright colors. the sweater is soft and not itchy. it is a bit longer than i expected...maybe 35"" (i am 5'7""), but that is just fine! it can be worn with leggings or tights. dressed up or dressed down. i couldn't be more pleased.",1,5,1
18092,48,General Petite,Tops,Blouses,829,Constricting,I tried on this top and it looked fine until i tried to move. you can't lift your arms. i tried on a larger size but still felt like the movement was limited in the back and arm areas.,1,2,0
1291,36,General Petite,Tops,Knits,886,Have to have!!!,"I absolutely love this top, especially for fl weather.
it's soft and falls just a tad longer in the back and is a little fitted in the bust area with a very feline look.
i had the tank as well and just love the satin trim!
i will say it runs a little smaller than the tank bc i have xs in the tank and needed a small in this!
love it!",0,5,1
19068,26,General Petite,Tops,Knits,864,Pj's for the win,I love this pajama combo! it is super cute and comfortable!,0,5,1
17902,31,General,Bottoms,Skirts,1005,,"Pros: this skirt is a stunner. beautiful, rich color and great quality. the cut is conservative enough to be work appropriate, but the little peek of above-the-knee leg where the slit is makes it interesting and flattering as well.

cons: slightly smelly when it comes out of the bag- i'm optimistic this will mostly go away though. expensive.

fit: i'm 5'8"", 125 lbs, 34b, normally wear a 26 or 27 in pants, and the size 2 fit great. i often wear a size 4 in skirts despite a size 2 fitting fine in",5,5,1
15814,36,General Petite,Bottoms,Jeans,1033,Gets baggy with wear,"These are very well-made jeans, the fabric is substantial and gives a lot of stretch with movement. i adore the extra inch or so in the rise of the waist, and they make my butt look great. however, these jeans fit like a glove when i put them on first thing, but within an hour or so of wear they are so baggy it's like wearing a size bigger. i'd say perhaps buy a size smaller if you want them to fit snugly through the day. if you like roomy, then buy your regular size.",4,3,1
12206,38,General,Tops,Knits,862,,"The cascadia cardigan is a flattering piece that is perfect for fall. arms are longer, which i appreciate being 5'8"". the backside is on the shorter side. overall really love this piece.",0,4,1
15037,35,General,Bottoms,Jeans,1033,Nope!,I ordered these a size up because i'd just had a baby and knew i needed a bigger size. my pre-pre baby size (chubby phase) were size 8/29. these fit like a size 4. way too small. very disappointed!,0,2,0
1365,45,General Petite,Tops,Knits,884,Love the color!,"I ordered this top in small petite but wished i had exchanged it for an xsp because it's wide in the arm holes. but i love it nonetheless and wear it with a cami underneath. i love that while it's sleeveless, the straps are wide. this type of wide top is not for well endowed women up top. i don't have that problem so it looks really cute. i also love the length. a lot of tops tend to be really long and for a petite person, shorter tops look best.",0,4,1
12597,45,General Petite,Bottoms,Pants,1056,Awesome chinos,These chinos fit great! they are extremely comfortable and true to size but note that they do loosen up quite a bit with wear. i bought all 3 colors!,0,5,1
2428,41,General Petite,Dresses,Dresses,1110,Beautiful swing dress,"I love the feel and drape of silk. this dress has lovely drape, and fantastic color. i think if paired with the right sweater and leggings, this will work well into the fall, and also transition into other seasons if you are savvy! the only awkward point about this dress is that you must wear a belt with it if you have an hourglass shape, otherwise it's a beautiful swing fit.",0,5,1
10831,40,General,Bottoms,Jeans,1022,Supremely disappointed,"When i tried these on in the store i was thrilled - they were comfy as yoga pants and  the fit was divine. i thought i had found the perfect jeans and i splurged on them for my birthday. after wearing just two times they are baggy and the knees are totally bagged out, saggy and faded.
so disappointing - i want my $180 back!",0,1,0
21835,47,General Petite,Dresses,Dresses,1094,Pretty but not for me,"This is such a pretty dress but it didn't do much for my figure.  i'm fairly long-waisted and the dress curved in around my lower rib-cage.  also, the beads were falling off everywhere.  i really wanted it to work but it is going back.",0,4,1
13108,57,General Petite,Dresses,Dresses,1110,Big disappointment!,"I loved the print and fabric of this dress when i first saw it, but trying it on was a very different story! the photo seems to show a wider, more well-defined waist, with just a small amount of ""blousing"" on top, but this was not the case. yes, the waist fit, but it is a narrow band that was covered completely by the hanging over of the ill-fitting top, turning the entire look into a shapeless and very unattractive fit. sadly, this is going right back!",31,1,0
15282,29,General,Bottoms,Pants,1060,,"I purchased these on sale and am only keeping them because they were such a low price. i ordered the 2 petite, but they do not actually seem to be made for a petite person. they are still very long (to my ankles) and the legs are very wide. the waist fits fine though.",0,3,0
13330,39,General,Dresses,Dresses,1094,Perfection,"I think i'm on the opposite side of the fence when it comes to fit, because i love this dress. it may be because i don't have much hips or curve to my waist that this dress is not tight as it is on others. it does make me look like i have some shape down there because it doesn't cling. i ordered the holly green and i adore the shoulder detail. confused as to why that same detail follows along around the inside of the dress across the shoulders because it itches a little. i do have to wear a cami",0,5,1
5352,32,General,Tops,Knits,879,,"This is a great summer staple tank! i first ordered it in black + white, and i'm now ordering the coral + navy. i'm usually a petite xs (i have a short torso), but seeing the length on this tank, i went with the regular and glad i did. also, i had previously bought the filigree lace tank (same brand), and the length of the petite on that tank is the same as this tank's regular length, so i knew it'd fit perfectly.",5,5,1
7823,58,General,Bottoms,Pants,1070,Perfect!,"When i saw these in the store i liked how they were different from usual leggings and, the nice fabric weight. i especially liked how they were not tight at the ankle and fit similar to a pair of ankle pants. since i wanted a slightly looser fit, i usually wear a 2/4 i went w a medium. can't wait for the weather to get colder so i can wear them with a sweater and ankle boots.",0,5,1
4170,37,General,Tops,Knits,863,,"I love this top! i was hesitant about purchasing based on the other reviews but i'm so happy i decided to order this beautiful top! i'm 5'4"" 115lbs and the xs fits great. it does run a lititle big but i like slightly over-sized tops with skinny jeans. the xxs probably would have worked as well. i definitely reccomend giving this top a try but size down if you are going for a more fitted look. the lace detail give this staple piece a nice added detail!",0,4,1
11500,36,General,Bottoms,Shorts,405,Runs large,"These run very large.  i wear a 25 or 26 in paige jeans, and the 25 in these shorts were way too big.  i fear if i got the 24 they would be a little short.",2,3,1
2035,62,General,Bottoms,Skirts,1009,Another winner!,I loved the mustard colored version of this skirt for summer and was thrilled to see it reissued in darker hues. same comfortable fit and cool textured fabric that doesn't wrinkle. i found the regular sizing to still be above the knee and the wide elastic waistband great for either a cropped top or a belt. will wear often.,3,5,1
18455,65,General Petite,Bottoms,Pants,1050,Comfort at its best,"I purchased an xl and am 5'8""tall. the pants fall near the ankle just like the pic. i plan to wash on my gentle washing machine cycle. the texture fabric print will pair well with any printed tops you choose. these lounge pants are great for everyday wear especially for errands in town. so much better a choice than yoga pants which to me look ridiculous when wore in public. so ladies, please leave your yoga pants for the gym and treat yourself to these casual, comfortable pants. i have two pairs",0,5,1
497,51,General,Bottoms,Pants,1059,Great pant,This is a great pant to wear to business and when you just need something more than a jean. not so skinny a 50+ woman can wear comfortably..,7,4,1
4705,45,General Petite,Tops,Fine gauge,895,"Softest, most flattering sweater","I had been eyeing the maroon one and i snatched it as soon as it went on sale. when i pulled it out of the package, i could not believe how soft it was. literally, as a cloud. think of the softest, fluffiest baby blanket. also, the cut is extremely flattering. i am 5'7"", 135 lb and the medium fit me perfectly, flowing, but not boxy. love it!",0,5,1
8656,47,General,Bottoms,Pants,1056,Nice and comfy!,"Love these pants. got them in yellow- gold color. pair them with retailer anafa tiered top which also has some yellow tones to it. goes lovely. good quality. important for me - the color is soft, not overly bright yellow, fabric is soft as well. great fit.!",0,5,1
21055,33,General,Tops,Knits,861,Staple with flair,Great basic but with a little something special to it. great t all around!,0,5,1
11921,60,General,Bottoms,Pants,1045,Extremely small pant!,Very small! so disappointed! they did not even have a size for me to exchange a day later when they arrived!,0,1,0
12649,48,General Petite,Dresses,Dresses,1078,Lovely sweater dress,"This sweater dress is beautifully unique in that it has lovely sheer sleeves to dress it up, but it's made of a soft sweater material that feels comfortable, warm and wintry at the same time. it does run true to size, i ordered a small (5'5"" and 118 lbs). knitted and knotted has come up with some killer sweater dresses this season!!!",1,5,1
9232,23,General Petite,Tops,Sweaters,933,Cozy soft,This sweater is buttery soft and warm. it is long and you will want every color. i bought the sky blue and it looks fabulous with so many outfits. i had to get the gray color also. the sleeves are a soft fitted rib material and the body is long and roomy. love love!,1,5,1
767,45,General,Tops,Knits,862,Goofy neck,The quality and color is great on this top.  the neckline just seemed a be pulled a little too tight on the one side of my neck to be a true off-the -shoulder look.  and to wear it as a cowl neck (or actually looks like a boat neck) just makes it too ordinary- since i love the off the shoulder look.  it fit me everywhere else and the slim waistline of this top is super flattering- so i think my size was right.  the cut of the neckline just needed to be more more definitive one way or the other.,0,3,0
7386,59,General Petite,Dresses,Dresses,1075,Amazing but very large!,"I love this dress?sophisticated and amazing?fabulous fabric. however, if you are petite and take a 0, it will be enormous! i am trying to decide if i send it back or have it altered.",2,5,1
603,60,General,Bottoms,Jeans,1037,Not worth it for the price,"They are beautiful in person, until you put the on. the fit was a bit weird; tighter in the waist, roomy in the crotch. the fabrics work 100% against one another. the vegan leather, especially the detail pieces at the outer side seams, is too stiff. the back is thin and has far too much elasticity. at $150 i passed. these will only enter my closet on sale.",0,3,0
22138,62,General,Bottoms,Skirts,1002,"Cute skirt, bad quality","I ordered this skirt in a size small and when i received it, not only was it too long, but there was also a hole in it. so i returned it. when a small petite became available, i ordered it thinking it would fit better. i just received it and there is a hole in this skirt as well. both skirts also looked as if they had been worn; there was fuzz and lint all over the skirts. i like the skirt but i either have extremely bad luck or it's really bad quality.",0,1,0
13264,33,General,Dresses,Dresses,1110,100% gorgeous,"Wore it this weekend and the compliments were overflowing! it's exceptionally flattering for busty women (i'm a 32dd). i had to size down from an 8 to a 6, but even the 8 looked good, just a bit loose in the bodice. v neck is just right, not too low, not too high. print is gorgeous in person - colors are much richer than the online photo. the flowy skirt is very slimming and forgiving for hourglass and pear shaped body types. but if you have slim hips, you might feel like you're swimming in fabr",16,5,1
20002,42,General,Tops,Knits,862,Excellent staple tee,"I love this top! i purchased the gray simply because i felt it would go with more. i can pair it with blue jeans, my pink pilcro chinos, and even my turquoise pilcro shorts. i love that this tee doesn't have the rolled sleeves, so it's a little more finished looking. i tried on both the small and medium and both fit, but i preferred the tapered fit of the small and ultimately went with that. for reference, i'm 5'8"", 140 lbs, 32d chest. i do think $58 is hefty for a t-shirt, so you could roll the",2,5,1
16369,36,General,Bottoms,Jeans,1022,,"Love! i am 5'3"" 118lbs with short legs and a long torso. i was worried these would be too long....they fit to perfection! super excited about this purchase",0,5,1
2265,56,General,Tops,Blouses,833,Love the colorful embroidery,"A versatile, pretty and feminine addition to your closet. perfect with black pants, jeans, shorts...dress it up, dress it down.",1,5,1
8226,28,General,Bottoms,Shorts,537,,"I've always had great difficulty finding a pair of shorts that i like the fit of - most are either too short, too thin, too low, or too tight. i have athletic legs that ""mainstream"" fit doesn't work well with, for the most part.

fortunately, that was not the case with the neda shorts. i was first drawn to them because of the striking but subtle pattern - and they also fit well, with a good length and a structured fit. they have a medium-high waistband and a slight stretchiness, and the fabric",0,5,1
325,55,General,Dresses,Dresses,1095,,"This dress is very versatile. it is comfortable and very flattering. the armholes were not too big. you do need to wear a bra that crosses in the back if you do not want the straps to show. i purchased the red/pink color and it is very vibrant and not see through at all. the length is great as it is above the knee by a few inches, it accentuates the best part of the leg. it also can be dressed up with heels and jewelry or more casual with flatter shoes. it is a classic style, not trendy so it wi",4,5,1
5207,32,General,Dresses,Dresses,1081,Loved this but too short for me,"I wish this dress was just a bit longer, it was beautifully made and i loved the colors, just too short for me.",0,4,1
13953,43,General Petite,Dresses,Dresses,1110,,"I purchased this dress in the berry color. it is beautiful and feminine. the length fit just like in the picture. i love all the detail and ease of this dress. i'm 5'2"" 34d and purchased a size 2. it fits true to size.",9,5,1
4981,51,General,Tops,Blouses,836,Airy and flattering,The blue motif is a gorgeous indigo with an interesting pattern. a short tunic that drapes nicely and is flattering. very happy with this purchase. i plan to buy a 2nd for my mom to keep her cool and stylish.,0,5,1
22780,63,General,Tops,Knits,863,A whole closet of this shirt,"All the positive reviews are right - the shirt is great! something not entirely obvious from the online photos is that there is a slit on both sides of the shirt. makes it even more comfortable and flattering. i wasn't sure how i was going to style this for the winter before i received it but as soon as i put it on i had plenty of ideas. it looks particularly great with a chunky scarf, leggings, and boots. it looked great with a close fitting turtleneck underneath. it really can be dressed up or",0,5,1
16574,60,General,Bottoms,Skirts,995,This skirt is sooo comfortable!,Soft and flowy and perfect for those in-between seasons.,0,4,1
48,21,General Petite,Tops,Blouses,830,,"I just purchased this blouse in store! the fabric has a nice weight and drape, feels nice to the touch and is opaque. i'll be wearing this one as a dress and a top. i'm 5'2"" and this fell a couple inches above my knee. i typically wear an xs at retailer and opted to go with a small for the extra length and because i hate when off the shoulder silhouettes pop up and become not so off the shoulder. i laid the xs and small out to compare sizing and didn't notice a major  difference width wise. i typi",4,5,1
17219,48,General Petite,Tops,Sweaters,936,Cozy and perfect for a southern winter,Love this sweater it's perfect for chilly florida evenings....love the loose boxy shape and it's very cozy not itchy!,1,5,1
20062,36,General,Tops,Knits,867,Not for bigger busts,"I wanted to love this shirt. it's got a thicker material, a flattering shape and the uniqueness for a basic top. however when i put this on, it just looked like it was ill-fitting over the chest. i think if the pull was below the chest, it would be much better.",1,3,1
5279,71,General Petite,Dresses,Dresses,1077,Beautiful! but big,"A really beautiful, well made dress. runs extremely big though! i'm not petite by any means and ordered a large but i'm positively swimming in it. an oversized look works for this particular dress, but i think it's supposed to be more fitted so i would recommend sizing down from what you might normally expect for a piece of this style.",0,5,1
11465,39,General,Dresses,Dresses,1081,Love everything about htis dress,"I had it on my wish list for a long time, not sure whether i should purchase, i even hesitated when it went on sale, but boy, am i glad i did order it... it is crazy comfortable, flattering, and love that it looks black but is blue... i ordered both xs and xs p and decided to go with the petite as it will look super cute in the fall with boots. not too short (i am 5 foot 1.5)... the fake leather part concerned me at first, but i like it now... nothing bad ot say about it!",0,5,1
16555,48,General,Tops,Sweaters,941,Disappointed by shedding,"I tried this on in-store because i needed a cozy cardigan, but i did not buy it because i felt the quality was poor. it shed all over everything i tried on with it, and i left the store with little balls of sweater flufff all over my pants. disappointed.",0,3,0
10549,56,General,Tops,Fine gauge,905,Great sweater,"This sweater works on many levels for petite frames. the length is just right, hitting at the lower waist. the design is very pretty, feminine and with flair.",0,5,1
15482,39,General Petite,Bottoms,Pants,1059,Perfect summer statement piece,"I've had a hard time finding the right jumpsuit and haven't ha a lot of luck with retailer clothing lately, but this is perhaps my favorite retailer purchase of all time. i'm petite and busty (5'2"", 34c/d) and was pleasantly supposed at how well this fits. the pattern is a bit faded (like the best kind of vintage find) so it works for someone short like me. and because the back has a tie closure, it can adjust as needed -- i'll be wearing it with a sports bra that crosses in back with 4 straps, whic",1,5,1
17802,25,General Petite,Tops,Blouses,829,"Felt cheap, not like retailer","This top seemed so unique online, but in person it was really nothing like the pics. super full, shorter cut. the quality wasn't what i thought it would be. i will gladly pay for nice,quality fabric and unique prints anyday... but this wasn't any of those things..",0,2,0
14515,45,General Petite,Tops,Fine gauge,898,Great length,"I'm a little on the short side, i was afraid it was going to be too long in the back. the sweater is perfect all the way around. i like the looseness in the front and like the way it lays in the back. the color is great.",0,5,1
13772,27,General Petite,Bottoms,Skirts,1008,Cute and comfy,"I tried this on in-store and would have purchased if it have been a better price, it wasn't something i could justify spending $100 bucks on. it's cute and was surprisingly comfortable but again, not worth the asking price. i will buy when it goes on sale.",6,4,1
4375,25,General,Dresses,Dresses,1104,Cute but can add love handles,I'm usually a small but the skirt of the dress was a bit loose and added love handles to my figure when i wear it. a smaller size would work better. it's cute and i love it but the material is form fitting and do a larger size isn't flattering. an xsmall for me,0,3,1
11662,43,General Petite,Tops,Blouses,850,Beautiful collage of colors,I was drawn to this blouse because it was silk and looked so well made. the color palette is an added bonus. i knew for my height to size up because it looked short. i tried on the 12 & felt it was still to short. i would have to wear a 14 or 16 to get the length i would like. i think overall this would be a great buy for a person with a smaller bust or shorter. i am 5'8 1/2 & a 36d.,14,5,1
22226,29,General Petite,Dresses,Dresses,1081,Perfect for maternity... and beyond,"I'm bought this dress at 16 weeks pregnant and am loving it! the top drapes, but is still form-fitting enough to show off a little bump. i've received so many compliments. the skirt is short, but i love it, makes legs look great with tights! i sized up a little to allow for room to grow.",0,5,1
11727,39,General,Dresses,Dresses,1110,Not as short on me (petite),"I ordered the xxs p as this dress is not a fitted dress, and that was the right size for me. only thing is the length is a bit linger still 9lower on calf for me), the straps are almost tight, so i would say the dress is a reversed taper shape. color is beautiful, i ordered green as the other color (plum) doesn't have petite available. green is rich, and classy, the fabric is surprisingly soft. i love the little details in the velvet. definitely need a strapless bra for this one.

115 lbsm 30d",0,5,1
6205,56,General Petite,Tops,Knits,886,Beautiful draped top,"I bought this today in black. it fits true to size and is very flattering. i love the draping, the weight of the fabric, and the length . i would buy it in another color i like it so much. i will probably wear this with jeans and boots with a sweater over it. i wasn't sure i was going to like the little connector piece across the front neckline, but it works. if it wasn't there the top would probably gape open.",6,5,1
21050,72,General Petite,Tops,Blouses,820,Much prettier in person,"I bought this top for my mom for christmas. i wasn't sure if she would like it, but it is really nice in person and she loved it. it fit true to size and can be dressed down, as it is on the model, or dressed up. i am so glad i decided to get this top. highly recommend.",0,5,1
2853,43,General Petite,Dresses,Dresses,1081,Great dress,"Got this dress on sale. it fits great. i am 5'8"", small bust, small waist but bigger hips. and this dress makes all those areas look great.",0,4,1
21103,28,General,Tops,Knits,862,,"This shirt runs large in my opinion. i wish i would have sized down to a xs but maybe it will shrink a little when i wash it. its a great shirt, good quality and i'm very happy i got it.",0,5,1
12287,62,General,Tops,Knits,861,Runs large for brand,"I am 5 '4"", 124lbs, and 36 c - usually take a small or sometimes a medium in t.la tops. this top seems to run particularly large as i ended up with an xs.",17,4,1
13703,35,General Petite,Bottoms,Pants,135,Great summer shorts,Love the color and length of these shorts! i have been searching for a pair of dark denim shorts that were not cut-offs and these pilcro shorts are winning! fit great like all pilcro denim and i'm sure i will be getting a lot of wear (i.e. every day) out of these shorts.,0,5,1
8592,36,General,Tops,Knits,881,"Cozy, but runs large","I like the unique design and it's warm and cozy. i wear a medium 95% of the time, but had to exchange this for a small, but the sleeves are still long enough. it sheds a bit, but i'm guessing it will slow over time.",1,4,1
13340,38,General,Tops,Blouses,829,Would love the cut but,"This was going to be my go to top. i loved the look of the billowy shirt, especially in light blue. when it arrived, i knew it wouldn't work for my body. i'm athletic build with muscular upper arms and a d cup. i tried it on anyway. i really wish it fit. it was snug in the upper arms and pulled a bit in the front. i knew if i ordered a size up the arms would still be tight. it's just the cut of the shirt. this top is best for someone that isn't busty and has slender upper arms.",17,3,0
20069,66,General Petite,Dresses,Dresses,1086,Well designed,"Love cloth and stone. this dress looks and fits exactly as pictured. soft and casual, with great design details.",13,5,1
10130,64,General,Tops,Knits,872,Love this top,"Great, flattering fit, lovely light fabric, classy with an edge. getting another one the other color! stripes on the taupe one are navy -",0,5,1
21416,39,General,Tops,Knits,862,,"Great top for day to night. fine for work (i'd think large breasted girls may find it too gaping for work as mentioned, but b cup and below doesn't gape so very work appropriate.)",0,5,1
4891,32,General Petite,Dresses,Dresses,1096,Too much,"This dress could have been great but for me there was too much design on the top part/ front. i wish the neckline was different or just less beadwork/ design near my face.
all in all its a maxi dress and was returned because approx. $250 was too much to spend on this.",0,3,1
23438,49,General Petite,Tops,Fine gauge,907,Perfect for me,"I just bought this cardigan in black at the store and i love it. the tie at the waist is flattering and the fabric is soft and stretchy. the regular size fit me perfectly as far as where the waist and hem hit, although the sleeves had to be turned up (i'm 5'1"" with more length in torso than limbs). i was so happy with the fit other than sleeve length that i bought the regular small rather than coming online for the petite. because the fabric is rather thin and the shape trim i can fold the sleev",1,5,1
20995,51,General,Tops,Sweaters,942,Nice sweater,"I purchased the cedar one. not sure where they got color name from since i don't see any cedar in it. the picture of the model is accurate in coloring and fit. tts, the sleeves are a little wider and longer at bottom but in a good way (to me). the pockets and belt are a suede-like material which makes for a lovely detail. it's not a slender-izing piece but not a frumpy fit imo at all. soft material and nicely made, but for that price i would hope so.",0,4,1
23238,62,General Petite,Tops,Blouses,834,Every color!,"I bought this in every color, and would probably keep buying it if there were others - the fit is loose yet flattering, quality is good, feminine pretty ruffles that don't add bulk, and i love that it makes me feel pretty and put-together post-baby.",0,5,1
5511,31,General Petite,Bottoms,Jeans,1028,So very comfortable!,"These jeans are worth every penny! they fit me perfectly as soon as i put them on, and i wore them the rest of the day! they are true to size with very generous stretch...if anything, i would size down. they feel durable, but not like typical denim. very soft. i am 5'3"" and about 117 or so, and my normal 25 fit like a dream. i did end up exchanging these because there was a small nick on the inside of the left thigh, and i was afraid they might tear right open. if the new pair comes without defe",0,5,1
8276,51,General Petite,Tops,Knits,867,So cute! but way too boxy,"I wish i had read the reviews before purchasing online. i love how this top looks online but when i tried on the small that i ordered, it was comical. so so boxy. literally, shaped like a square. it must be pinned back on this model. maybe if i ordered an xxxxs it would have worked...or perhaps for a larger person, it may look super cute!
just didn't work on my slim build. :(",0,2,0
15368,50,General Petite,Dresses,Dresses,1102,$200 piece of polyester,A $200 piece of polyester with no shape and looks good only on the model. avoid ! mine went back the same day it came in the mail...,4,2,0
17327,30,General,Dresses,Dresses,1074,More like hot pink in color,And runs large. i'm always a size 8 in dresses and the 8 was too big. i would buy it in a 6 if the color was closer to what i'm seeing online.,0,4,1
6877,80,General Petite,Tops,Knits,863,,This top is perfect. i absolutely love this sweater. it is super cute to wear with shirts for the summer and it will look just as cute with jeans for the fall/winter. the color is very subtle and not too pink. it is super soft and i would 100% recommend this to someone!,3,5,1
19221,57,General,Tops,Blouses,823,Cute top,"I got this top in the pink. the colors and pattern are beautiful - i received so many compliments. it is very comfortable - it is ""swingy"" so i paired it with skinny jeans. 
i usually wear an xs or s - 0 or 2 in retailer tops - i got this in an xs and it fit perfectly.",5,5,1
19143,20,General,Tops,Sweaters,937,Not flattering on me,"I ordered this online and was disappointed with the fit when it arrived. i ordered the xs and it was still oversize to the point of being unflattering. i am tall 5'9"" about 130 pounds and have a fairly thin torso and look best in cloths that have some shape. if you like a loose fit this might be for you. the material is thicker and warm and comfortable. i would suggest ordering down a size.",2,3,0
13914,40,General,Tops,Knits,875,Might work for someone else,I thought this was a sweet design but it is too boxy for me.,0,3,0
10373,40,General Petite,Dresses,Dresses,1098,You need to be tall,"I'm 5'-4"", 130lbs with a 32f chest. this dress looked like a cross between little house on the prairie and a mu mu. i can't imagine this looking good on anyone who isn't 7' tall. also, the straight across, rather high neck line wasn't flattering to a large chest and then the arm holes are huge. the fabric was a bit shiny and felt cheap. it wasn't see through but it had the feel of a nightgown, not a hundred dollar dress.",0,2,0
12161,41,General,Tops,Knits,873,Flattering tank,"I purchased the coral color. i'm usually between an xs and small in this brand, and i felt the top runs a tad small, so the small fit much better. simple and flattering top.",1,5,1
17211,25,General,Bottoms,Shorts,282,Great fitting for women with curves,I have had a hard time finding shorts as i have a smaller waist and bigger thighs. i am 5 ft 4 and weigh 125 lbs and i wear a size 25/26 in jeans i bought a size 26 in these and they fit great. i wouldn't size down if you have thighs as i like some room in mine.,8,5,1
10511,53,General,Tops,Blouses,829,Very elegant!,"I wore this top right out of the package i loved it so much. i am 5'8"" small busted and size 4 was great. the sleeves hit me perfectly. the pleated detail in the back is flattering as well. my daughter now wants her own top. it would be nice to have a second color option.",2,5,1
10359,59,General Petite,Dresses,Dresses,1072,A bit big,I really loved the colors in this dress and was looking for a long sleeve dress. this style may just be big fitting but the sleeves were way too long and the dress was just shapeless on me. i usually wear a small or a size 4 in clothing and the size small in this dress was way too big. the x-small may have been a better fit but this dress was on backorder and i just received it right before we are going on a trip. there's no time to order the x-small but maybe i can look at it again when we retu,4,4,1
20616,42,General,Tops,Knits,862,Lovely structured top hides flaws,"I bought this in a beautiful cornflower blue at my retailer store. i don't see that color for sale online. the blue material was not thin or see through, but perhaps the white is. the fit is very structured, which helps me cover my mom belly. i have never said this before, but i think it looks better on me than it does on the model wearing white. on sale, i got this for about $20. i got it for a steal. i like the different directions of line patterns and the length is nice too. one thing you can't",0,5,1
8387,23,General Petite,Tops,Knits,886,Shrinks!!!,"Ladies this top shrinks!!! i am very disappointed, i was in love with this top and the first time i washed it it shrunk a significant amount. i did not use a dryer, i laid this piece out to dry as i do with the majority of my knit tops and it shrunk. it is a lot shorter and much tighter, especially in my arms. if you love this top i might suggest buying a size up and washing it to fit.",14,2,0
3413,25,General,Dresses,Dresses,1079,A lot of dress,"This dress is so well made, but it's a lot of dress. i think i would have liked it if it were shorter. it felt a little too 50s housewife to me, and i was hoping for a flowing material. it wasn't worth the price to me so i sent it back.",4,4,0
4869,29,General,Dresses,Dresses,1092,Was very excited....but not for large busted,"This sweater is gorgeous...it is of great quality and very warm. i was very excited and wanted it to look great. however....i have a large bust and am full figured...so it was not appealing and just kind of ""hung there"". i feel that it would look great on thinner women...and it is a gorgeous sweater...just not for me!",0,5,1
15243,53,General Petite,Jackets,Outerwear,1112,Uniquely terrific cape,"I stalked the website to get this in a pxxs. it runs a tad large. this is a beautiful garment. i receive many, many compliments every time i wear it. in fact, nearly everyone comments on it. it is surprisingly warm for a cape. i love that it works so well over my bulkier sweaters. as others have mentioned, the buttons are a little difficult, but i found that they got easier with multiple wearings. i disagree with the reviewer that feels the collar must be worn up. i actually like the collar down",1,5,1
18435,47,General,Tops,Knits,881,,"Love the silhouette and coziness of the fabric. for the first few wearings, i was in love. then it began to pill horribly . . . would not recommend. my mother said, ""that's going to pill up."" and i ignored her. and she was right.",0,2,0
